DeviceId,What Hour,Computation Range,Predicted Water Consumtion,Mean Absolout Error,r2_score
57975969,1,3,0.9990212715016848,0.4519123113551302,
57975969,2,3,0.9125106204483735,0.19126610016398526,
57975969,3,3,0.8378475416848887,0.16117372981679612,
57975969,4,3,0.771513905111076,0.14099671533729752,
57975969,5,3,0.7113550156212374,0.12649252606365136,
57975969,6,3,0.6559488554645432,0.1155650496465328,
57975969,7,3,0.6043035700457168,0.1070514455755206,
57975969,1,4,0.9557659459750292,0.4951676368817859,
57975969,2,4,0.8751790810666311,0.22859763954572765,
57975969,3,4,0.8046807233979824,0.1943405481037025,
57975969,4,4,0.7414344603661567,0.17107616008221682,
57975969,5,4,0.6836519355428903,0.15419560614199845,
57975969,6,4,0.6301262127551299,0.14138769235594606,
57975969,7,4,0.5800002817012935,0.1313547339199439,
57975969,1,5,0.9184344065932868,0.5324991762635283,
57975969,2,5,0.8420122627797247,0.261764457832634,
57975969,3,5,0.774601278653063,0.2244199928486218,
57975969,4,5,0.7137313802878096,0.19877924016056392,
57975969,5,5,0.657829292833477,0.1800182488514117,
57975969,6,5,0.6058229244107066,0.16569098070036936,
57975969,7,5,0.5137724490086474,0.19758256661259,
57975969,1,6,0.8420122627797247,0.4353428889548622,-6.290300491517675
57975969,2,6,0.774601278653063,0.27679771740395875,-27.927480286887658
57975969,3,6,0.7137313802878096,0.2420345656872196,-31.309462871801387
57975969,4,6,0.657829292833477,0.2173497882331541,-33.89742008652592
57975969,5,6,0.6058229244107066,0.19885779898727574,-35.94824009677637
57975969,6,6,0.5137724490086474,0.2276620113575093,-57.28507773239186
57975969,7,6,0.46904934149260746,0.2146025940502828,-60.00864490382386
57975969,1,7,0.8119328180348054,0.4654223336997815,-7.189570082668645
57975969,2,7,0.746898198574716,0.30450079748230585,-33.797425068922564
57975969,3,7,0.6879087375783963,0.26785720839663285,-38.34665685112924
57975969,4,7,0.6335260044890537,0.2416530765775774,-41.90181741774031
57975969,5,7,0.5395950917180605,0.26508563167992183,-63.879977460474976
57975969,6,7,0.4933526298370308,0.24808183052912586,-68.02213914396918
57975969,7,7,0.46904934149260746,0.2146025940502828,-60.00864490382386
57975969,1,8,0.746898198574716,0.530456953159871,-9.339180636237902
57975969,2,8,0.6879087375783963,0.3634902584786255,-48.16064533308198
57975969,3,8,0.6335260044890537,0.32223994148597546,-55.49828598743237
57975969,4,8,0.5395950917180605,0.3355839893485706,-80.8073133694047
57975969,5,8,0.4933526298370308,0.31132809356095154,-88.11077104081537
57975969,6,8,0.46904934149260746,0.2723851188735492,-82.00250593069153
57975969,7,8,0.4459932525457345,0.23765868299715576,-73.59549953607866
57975969,1,9,0.7210755558653028,0.5562795958692841,-10.27057464994294
57975969,2,9,0.663605449233973,0.3877935468230488,-54.816070612195226
57975969,3,9,0.5672981717964076,0.38846777417862155,-80.65491260120784
57975969,4,9,0.519175272546444,0.3560038085201871,-90.94053208951549
57975969,5,9,0.4933526298370308,0.31132809356095154,-88.11077104081537
57975969,6,9,0.46904934149260746,0.2723851188735492,-82.00250593069153
57975969,7,9,0.4261924468085883,0.25745948873430197,-86.36975550436652
